store_id,store_name,company,city,state,lat,lng
42985,Blinkit-42985,Blinkit,Thiruvananthapuram,Kerala,8.47825956126482,76.95471090994006
40038,Blinkit-40038,Blinkit,Thiruvananthapuram,Kerala,8.525198936758894,76.95539499964538
38514,Blinkit-38514,Blinkit,Kottayam,Kerala,9.587031219906576,76.53578187897484
38406,Blinkit-38406,Blinkit,Madurai,Tamil Nadu,9.92239097269134,78.09568564957308
39056,Blinkit-39056,Blinkit,Cochin,Kerala,9.949992891843332,76.25344163680757
36232,Blinkit-36232,Blinkit,Cochin,Kerala,9.954733883219548,76.34603971638177
37696,Blinkit-37696,Blinkit,Cochin,Kerala,9.95844390837226,76.30208214425558
35756,Blinkit-35756,Blinkit,Cochin,Kerala,9.984797174991018,76.30620908009283
35896,Blinkit-35896,Blinkit,Cochin,Kerala,10.001311534315484,76.27954568125936
36590,Blinkit-36590,Blinkit,Aluva,Kerala,10.016226899748473,76.36241301280216
36310,Blinkit-36310,Blinkit,Elur,Kerala,10.027027,76.3110593654827
35852,Blinkit-35852,Blinkit,Elur,Kerala,10.0087471512756,76.34228117571521
39110,Blinkit-39110,Blinkit,Aluva,Kerala,10.107542063959755,76.35266640058886
39824,Blinkit-39824,Blinkit,Trichur,Kerala,10.50708658354294,76.22367865971026
38405,Blinkit-38405,Blinkit,Trichur,Kerala,10.532675131512756,76.20261205417093
38044,Blinkit-38044,Blinkit,Tiruchirappalli,Tamil Nadu,10.821211351778656,78.68826731728282
47035,Blinkit-47035,Blinkit,Coimbatore,Tamil Nadu,10.99307402084082,76.95051071419608
35954,Blinkit-35954,Blinkit,Coimbatore,Tamil Nadu,11.018939799496948,76.98907646414291
45700,Blinkit-45700,Blinkit,Perur,Tamil Nadu,11.028525383039886,76.9018150156989
35956,Blinkit-35956,Blinkit,Coimbatore,Tamil Nadu,11.026353266618756,76.9369252945049
36692,Blinkit-36692,Blinkit,Singanallur,Tamil Nadu,11.012462975925262,77.021797
46973,Blinkit-46973,Blinkit,Coimbatore,Tamil Nadu,11.016229145526411,76.95681269511132
39366,Blinkit-39366,Blinkit,Irugur,Tamil Nadu,11.049733123248291,77.03666946579365
39048,Blinkit-39048,Blinkit,Periyanayakkanpalaiyam,Tamil Nadu,11.083892713977722,76.97997700309351
46959,Blinkit-46959,Blinkit,Coimbatore,Tamil Nadu,11.076944277039166,76.94263891662882
38606,Blinkit-38606,Blinkit,Kozhikode,Kerala,11.271478228530365,75.77788839982405
38452,Blinkit-38452,Blinkit,Erode,Tamil Nadu,11.33722265684513,77.71002539442775
40190,Blinkit-40190,Blinkit,Salem,Tamil Nadu,11.677176179662236,78.15467288926844
39044,Blinkit-39044,Blinkit,Puducherry,Pondicherry,11.940733488321955,79.82622962597024
35900,Blinkit-35900,Blinkit,Mysuru,Karnataka,12.26819490118577,76.64180497525668
37422,Blinkit-37422,Blinkit,Mysuru,Karnataka,12.296856827524255,76.63149132530273
45943,Blinkit-45943,Blinkit,Mysuru,Karnataka,12.30296758929213,76.69298986957187
37128,Blinkit-37128,Blinkit,Mysuru,Karnataka,12.344285782608695,76.61429612334933
38286,Blinkit-38286,Blinkit,Mysuru,Karnataka,12.326084689902984,76.66054235568888
37470,Blinkit-37470,Blinkit,Mysuru,Karnataka,12.332829915199426,76.63247344605129
45857,Blinkit-45857,Blinkit,Mandya,Karnataka,12.52113407869206,76.89722656464345
45783,Blinkit-45783,Blinkit,Anekal,Karnataka,12.722346656934963,77.7035079298929
39206,Blinkit-39206,Blinkit,Hosur,Tamil Nadu,12.72973,77.8201783926145
36014,Blinkit-36014,Blinkit,Singapperumalkovil,Tamil Nadu,12.725198020122171,79.99580555901544
37808,Blinkit-37808,Blinkit,Anekal,Karnataka,12.791646622709306,77.6554872809615
45797,Blinkit-45797,Blinkit,Hosur,Tamil Nadu,12.783343827524256,77.77039725743386
39370,Blinkit-39370,Blinkit,Anekal,Karnataka,12.789611947897953,77.70383300524479
40092,Blinkit-40092,Blinkit,Bengaluru,Karnataka,12.813286784764644,77.50934138963686
